rank,package,pagerank,in_degree_centrality,out_degree_centrality,eigenvector_centrality,betweenness_centrality,in_degree,out_degree,total_degree
1,numpy,0.032863170131041244,0.20594172404517883,0.0,0.000571713867343532,0.0,81923,0,81923
2,typing-extensions,0.0313538728481797,0.03882382220077075,0.0,0.02064958351298661,0.0,15444,0,15444
3,requests,0.02528306667308408,0.1818515473972906,1.0055380005379629e-05,0.0002932704228655361,3.245588683116008e-06,72340,4,72344
4,odoo,0.013835270625804518,0.0448947578790187,0.0,9.787917525225026e-05,0.0,17859,0,17859
5,colorama,0.011394285960410595,0.018532065349914657,0.0,0.000463018583552683,0.0,7372,0,7372
6,six,0.010868942047533728,0.02424100734796894,0.0,0.0024361622971737816,0.0,9643,0,9643
7,pandas,0.010382933041406162,0.13400302164169162,1.0055380005379629e-05,3.59939772152455e-05,1.5503156224248886e-06,53306,4,53310
8,click,0.007599486615663679,0.06816290721146716,2.513845001344907e-06,0.0003041707370650314,3.356676297093154e-07,27115,1,27116
9,pydantic,0.007252073648931065,0.07360286779437754,1.0055380005379629e-05,0.00018016027964954108,1.2616277248151878e-06,29279,4,29283
10,certifi,0.006380131636753833,0.014007144347493823,0.0,0.0007010770018595616,0.0,5572,0,5572
11,pyyaml,0.006363760965697855,0.07038263234765471,0.0,0.00020213182392789857,0.0,27998,0,27998
12,urllib3,0.006255743868515157,0.024806622473271544,0.0,0.00041843627831288094,0.0,9868,0,9868
13,idna,0.005978632122197827,0.009218269619931775,0.0,0.0008241599071858877,0.0,3667,0,3667
14,scipy,0.005613677496034032,0.07870094545710501,2.513845001344907e-06,6.607518475579654e-05,7.842356168656324e-09,31307,1,31308
15,matplotlib,0.005562332767935316,0.08311274343446533,2.2624605012104166e-05,1.1419668272710619e-05,2.0656651628059383e-06,33062,9,33071
16,django,0.005209110638916019,0.023620087632636746,7.541535004034722e-06,5.0898670974819196e-05,2.1637610661834728e-07,9396,3,9399
17,python-dateutil,0.004917500513542105,0.02959298335583225,2.513845001344907e-06,0.0042811268220044295,6.46279281196137e-07,11772,1,11773
18,charset-normalizer,0.004203136558101144,0.006387680148417409,0.0,0.00037557547436990225,0.0,2541,0,2541
19,pillow,0.00413712581126972,0.041327611822110276,0.0,0.0006988494795881481,0.0,16440,0,16440
20,tqdm,0.003807356675185592,0.060548470702393435,2.513845001344907e-06,6.870044406871803e-05,2.5585923354551313e-07,24086,1,24087
21,packaging,0.0037011261512264527,0.018408886944848754,0.0,0.002156446994332515,0.0,7323,0,7323
22,markupsafe,0.0036907163394191483,0.00486177623260105,0.0,0.0007267470733509877,0.0,1934,0,1934
23,tzdata,0.003543760840626976,0.002873324836537229,0.0,0.00018688257248394304,0.0,1143,0,1143
24,httpx,0.0034979018774782228,0.033064603302689566,1.0055380005379629e-05,9.467850901987918e-05,1.2694649773700985e-06,13153,4,13157
25,aiohttp,0.0034308611208890894,0.029716161760898148,2.0110760010759258e-05,1.3548115983487862e-05,1.3484111844026386e-06,11821,8,11829
26,importlib-metadata,0.003132479582305691,0.011805016126315685,5.027690002689814e-06,0.00985537358055546,5.946637984672906e-07,4696,2,4698
27,rich,0.0029754990852042017,0.03665437396461009,5.027690002689814e-06,3.108464679032537e-05,7.335855570406326e-07,14581,2,14583
28,torch,0.002965788085956475,0.03595552505423621,5.781843503093287e-05,1.2111560117593611e-05,3.0737745392518476e-06,14303,23,14326
29,zipp,0.002961300982567059,0.0029085186665560574,0.0,0.00620607314502563,0.0,1157,0,1157
30,setuptools,0.0028713672823584657,0.02641296942913094,0.0,0.4973904837202128,0.0,10507,0,10507
31,pytz,0.002818826366689782,0.01578946045344736,0.0,0.042753302322776,0.0,6281,0,6281
32,pycparser,0.002617482674451609,0.0028607556115305046,0.0,0.00405930105238464,0.0,1138,0,1138
