k,lwcc_size,lwcc_relative_size,lwcc_size_retention,lwcc_relative_size_std
1,76789.4,0.1930366493462746,0.19346367843657203,0.012068943157859753
2,67387.2,0.16940097587462954,0.16977655489652094,0.0300282447205003
3,55790.0,0.14024741262503235,0.14055786437571263,0.011445595534450966
5,48587.8,0.12214219815634605,0.12241267421898532,0.016694842556671714
10,38217.6,0.09607312272339912,0.09628611650335729,0.004309792234963871
20,29765.2,0.07482509923403143,0.07499085847861231,0.002489613097102445
50,20417.8,0.05132718446846005,0.05144084460611599,0.0017021351242870475
100,14724.6,0.037015362106803215,0.03709737723368915,0.0009695813811373196
200,9027.6,0.02269398713414128,0.022744273617178123,0.0002648099167849501
500,387.0,0.0009728580155204791,0.0009749861406047529,0.00042556062261981834
