k,nodes_removed,nodes_failed_total,cascade_failures,nodes_remaining,edges_remaining,weak_component_count,lwcc_size,lwcc_fraction,lwcc_relative_size,lwcc_size_change,lwcc_fraction_change,lwcc_size_retention,lwcc_fraction_retention,strong_component_count,lscc_size,density,avg_path_length,computation_time
1,1,134710,134709,263087,843235,7240,253199,0.962415474728892,0.6365030404955291,141143,0.028899190791461304,0.6420797176055302,0.9708476109588354,263087,1,1.2182922957332544e-05,2.3369565217391304,15.319313049316406
2,2,266102,266100,131695,236435,13336,114879,0.8723110216788792,0.2887879999095016,279463,0.1190036438414741,0.291318195880733,0.879953714011678,131695,1,1.3632530909020003e-05,1.8909952606635072,13.317389965057373
3,3,298006,298003,99791,155826,14533,81109,0.8127887284424448,0.20389545421408406,313233,0.17852593707790854,0.2056818700518839,0.8199099203438113,99791,1,1.5648096846288892e-05,2.026194144838213,13.71386194229126
5,5,324980,324975,72817,94720,15289,53116,0.7294450471730503,0.13352539109143607,341226,0.26186961834730305,0.13469526451658712,0.7358360292089047,72817,1,1.7864138980321647e-05,1.5296052631578947,13.663949966430664
10,10,331632,331622,66165,77299,15744,45819,0.6924960326456586,0.1151818641166223,348523,0.2988186328746947,0.11619102200627882,0.6985632884611456,66165,1,1.765728007677092e-05,2.0389294403892944,15.278501033782959
20,20,337698,337678,60099,64458,16253,38914,0.6474982944807733,0.09782376438233571,355428,0.34381637103957996,0.09868084048871284,0.6531713057436647,60099,1,1.784635636733019e-05,1.5866141732283465,19.14631700515747
50,50,346410,346360,51387,46384,16960,28474,0.5541090158989628,0.07157922256829488,365868,0.4372056496213905,0.0722063589473097,0.5589638034943265,51387,1,1.7565888485460953e-05,1.2967032967032968,25.864928007125854
100,100,355142,355042,42655,32318,17657,18347,0.4301254249208768,0.04612151423967501,375995,0.5611892405994765,0.04652560467817275,0.4338939389089928,42655,1,1.7762936600029603e-05,1.319277108433735,29.029170989990234
200,200,360281,360081,37516,24332,18186,12001,0.3198901801897857,0.03016865386114023,382341,0.6714244853305675,0.030432974423216397,0.32269287574987243,37516,1,1.728846081072138e-05,1.183673469387755,32.86948299407959
500,500,366151,365651,31646,15795,18770,3800,0.1200783669342097,0.009552611005110647,390542,0.8712362985861436,0.009636305541890034,0.12113042519266987,31646,1,1.5772324602089315e-05,1.1037037037037036,36.77284812927246
